experience_level,work_year,employment_type,company_size,job_title,company_location,salary_in_usd
2,2023,3,1,37,70,0.25820692879685664
3,2023,3,1,47,70,0.43803555211883083
3,2023,3,1,47,70,0.37059981837309053
3,2023,3,1,47,36,0.3734096406124964
3,2023,3,1,47,36,0.24415781759982738
3,2023,3,2,8,70,0.48793799509067864
3,2023,3,2,8,70,0.2941726534612515
3,2023,3,2,8,70,0.5729070196103114
3,2023,3,2,8,70,0.2941726534612515
3,2023,3,1,25,70,0.3337349505920858
3,2023,3,1,25,70,0.2143737018621254
3,2023,3,1,8,70,0.4492748410764542
3,2023,3,1,8,70,0.402069827454436
3,2023,3,1,69,12,0.24696763983923323
3,2023,3,1,69,12,0.2020104840087397
2,2023,3,1,25,70,0.398698040767149
2,2023,3,1,25,70,0.2615787154841437
3,2023,3,1,33,70,0.44500391127255734
3,2023,3,1,33,70,0.24584371094347088
2,2023,3,1,25,28,0.15236429682512567
2,2023,3,1,25,28,0.11138809714342232
3,2023,3,1,33,70,0.5549241572781141
3,2023,3,1,33,70,0.27843764892057876
0,2023,3,1,33,70,0.19684041108823294
0,2023,3,1,33,70,0.1273816053301204
3,2023,3,1,33,70,0.3481212404578437
3,2023,3,1,33,70,0.2806855067121034
3,2023,3,1,47,12,0.5684113040272621
3,2023,3,1,47,12,0.41555697420358406
3,2023,3,1,47,70,0.37059981837309053
3,2023,3,1,47,70,0.2919247956697268
2,2023,3,1,31,70,0.36498017389427884
2,2023,3,1,31,70,0.22786084861127348
3,2023,3,1,47,70,0.42679626316120745
3,2023,3,1,47,70,0.3481212404578437
2,2023,3,1,33,70,0.31665123137649825
2,2023,3,1,33,70,0.15705332817824613
0,2022,3,2,33,54,0.12308370123272522
1,2023,3,1,33,70,0.631351322189953
1,2023,3,1,33,70,0.45377055665950355
3,2023,3,1,25,70,0.21324977296636308
3,2023,3,1,25,70,0.16829261713586952
3,2023,3,1,33,70,0.4902982457717796
3,2023,3,1,33,70,0.3899313953802027
1,2023,3,1,53,70,0.5488549412409974
2,2023,3,1,74,70,0.5054712858645711
2,2023,3,1,74,70,0.48299270794932436
3,2023,3,1,47,70,0.4339894080940864
2,2023,3,1,89,70,0.4605141300340776
2,2023,3,1,89,70,0.3296888065673414
3,2023,3,1,47,70,0.43803555211883083
3,2023,3,1,47,70,0.37059981837309053
3,2023,3,1,47,70,0.3722407545609035
3,2023,3,1,33,70,0.27618979112905406
3,2023,3,1,33,70,0.17166440382315654
0,2023,3,1,17,25,0.03670526987780645
3,2023,3,1,1,69,0.2312326352985605
3,2023,3,1,1,69,0.12333546130537598
2,2023,3,1,67,70,0.28967693787820215
2,2023,3,1,67,70,0.2671983599629554
3,2023,3,1,33,70,0.3734096406124964
3,2023,3,1,33,70,0.24415781759982738
3,2023,3,1,33,70,0.3593605294154671
3,2023,3,1,33,70,0.28585557963261016
3,2023,3,1,47,70,0.49423199690694775
3,2023,3,1,47,70,0.3818391073307139
3,2023,3,1,33,70,0.5054712858645711
3,2023,3,1,33,70,0.2683222888587177
3,2023,3,1,69,70,0.544808797216253
3,2023,3,1,69,70,0.3755451055144448
3,2023,3,1,25,70,0.3818391073307139
3,2023,3,1,25,70,0.31440337358497356
3,2023,3,1,25,70,0.3227204474136149
3,2023,3,1,25,70,0.27079493242939484
3,2023,3,1,33,70,0.31440337358497356
3,2023,3,1,33,70,0.24696763983923323
3,2023,3,1,89,70,0.43803555211883083
3,2023,3,1,89,70,0.32564266254259694
0,2023,3,1,88,70,0.3481212404578437
0,2023,3,1,88,70,0.25820692879685664
3,2023,3,1,25,70,0.4043176852459607
3,2023,3,1,25,70,0.2587688932447378
3,2023,3,1,47,70,0.607299243820639
3,2023,3,1,47,70,0.3998219696629113
3,2023,3,1,31,70,0.37059981837309053
3,2023,3,1,31,70,0.26944621775448
2,2023,3,1,31,70,0.36498017389427884
2,2023,3,1,31,70,0.22786084861127348
3,2023,3,1,89,70,0.5504284416950647
3,2023,3,1,89,70,0.43803555211883083
2,2023,3,2,69,70,0.2919247956697268
3,2023,3,1,69,70,0.4740012767832257
3,2023,3,1,69,70,0.402069827454436
3,2023,3,1,33,70,0.3930783962883373
3,2023,3,1,33,70,0.3593605294154671
3,2023,3,1,47,70,0.40634075725833285
3,2023,3,1,47,70,0.2791120062580361
3,2023,3,1,33,70,0.31440337358497356
3,2023,3,1,33,70,0.25820692879685664
2,2023,3,1,33,70,0.3118520549915931
2,2023,3,1,33,70,0.24717444275605352
2,2023,3,1,69,70,0.2806855067121034
2,2023,3,1,69,70,0.1907711950511163
