experience_level,job_title,work_year,salary_in_usd
1.0,0.043478260869565216,1.0,130000
1.0,0.043478260869565216,1.0,87000
0.6666666666666666,0.2717391304347826,1.0,160000
0.6666666666666666,0.2717391304347826,1.0,112000
0.6666666666666666,0.358695652173913,1.0,162500
0.6666666666666666,0.358695652173913,1.0,130000
1.0,0.4891304347826087,1.0,245100
0.6666666666666666,0.5108695652173912,1.0,145000
0.6666666666666666,0.5108695652173912,1.0,100000
1.0,0.358695652173913,1.0,147100
1.0,0.358695652173913,1.0,90700
0.0,0.358695652173913,1.0,115100
0.0,0.358695652173913,1.0,73900
1.0,0.358695652173913,1.0,168400
