employee_residence_US,job_title_Data Analyst,company_location_CA,employee_residence_CA,employee_residence_IN,job_title_Data Science Manager,company_location_US,experience_level,job_title_Applied Scientist,employee_residence_DE,job_title_Machine Learning Engineer,company_location_ES,job_title_Research Scientist,company_location_GB,work_year,job_title_Data Manager,salary_in_usd
1,0,0,0,0,0,1,3,0,0,1,0,0,0,2023,0,0.4654594171754319
1,0,0,0,0,0,1,3,0,0,0,0,0,0,2023,0,0.2020104840087397
1,0,0,0,0,0,1,3,0,0,0,0,0,0,2023,0,0.15705332817824613
1,0,0,0,0,0,1,3,0,0,0,0,0,0,2023,0,0.42679626316120745
1,0,0,0,0,0,1,3,0,0,0,0,0,0,2023,0,0.3481212404578437
1,0,0,0,0,0,1,3,0,0,0,0,0,0,2023,0,0.5054712858645711
1,0,0,0,0,0,1,3,0,0,0,0,0,0,2023,0,0.31035722956022915
1,0,0,0,0,0,1,2,0,0,0,0,0,0,2023,0,0.21324977296636308
1,0,0,0,0,0,1,2,0,0,0,0,0,0,2023,0,0.14581403922062275
1,0,0,0,0,0,1,2,0,0,0,0,0,0,2023,0,0.22448906192398646
0,0,0,0,1,0,0,2,0,0,0,0,0,0,2023,0,0.03492721436471044
0,1,0,0,0,0,0,2,0,0,0,0,0,1,2023,0,0.0922655709109219
0,1,0,0,0,0,0,2,0,0,0,0,0,1,2023,0,0.08407212926081445
1,0,0,0,0,0,1,3,0,0,0,0,0,0,2023,0,0.31440337358497356
1,0,0,0,0,0,1,3,0,0,0,0,0,0,2023,0,0.24696763983923323
1,1,0,0,0,0,1,3,0,0,0,0,0,0,2023,0,0.367003245906651
1,1,0,0,0,0,1,3,0,0,0,0,0,0,2023,0,0.2249386334822914
1,0,0,0,0,0,1,3,1,0,0,0,0,0,2023,0,0.34609816844547153
